KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,ZEME3
"CS","CZEMALFA",1186,"UY","Uruguay","Uruguayská východní republika","01.01.1900","09.09.9999","URY"
"CS","CZEMALFA",1186,"UZ","Uzbekistán","Republika Uzbekistán","01.01.1900","09.09.9999","UZB"
"CS","CZEMALFA",1186,"VA","Vatikán","Vatikánský městský stát","01.01.1900","09.09.9999","VAT"
"CS","CZEMALFA",1186,"VC","Svatý Vincenc a Grenadiny","Svatý Vincenc a Grenadiny","01.01.1900","09.09.9999","VCT"
"CS","CZEMALFA",1186,"VE","Venezuela","Bolívarovská republika Venezuela","01.01.1900","09.09.9999","VEN"
"CS","CZEMALFA",1186,"VG","Britské Panenské ostrovy","Britské Panenské ostrovy","01.01.1900","09.09.9999","VGB"
"CS","CZEMALFA",1186,"VI","Americké Panenské ostrovy","Americké Panenské ostrovy","01.01.1900","09.09.9999","VIR"
"CS","CZEMALFA",1186,"VN","Vietnam","Vietnamská socialistická republika","01.01.1900","09.09.9999","VNM"
"CS","CZEMALFA",1186,"VU","Vanuatu","Republika Vanuatu","01.01.1900","09.09.9999","VUT"
"CS","CZEMALFA",1186,"WF","Wallis a Futuna","Teritorium Wallisovy ostrovy a Futuna","01.01.1900","09.09.9999","WLF"
"CS","CZEMALFA",1186,"WS","Samoa","Nezávislý stát Samoa","01.01.1900","09.09.9999","WSM"
"CS","CZEMALFA",1186,"XK","Kosovo","Kosovská republika","01.01.2011","09.09.9999","XXK"
"CS","CZEMALFA",1186,"YE","Jemen","Jemenská republika","01.01.1900","09.09.9999","YEM"
"CS","CZEMALFA",1186,"YT","Mayotte","Departement Mayotte","01.01.1994","09.09.9999","MYT"
"CS","CZEMALFA",1186,"ZA","Jižní Afrika","Jihoafrická republika","01.01.1900","09.09.9999","ZAF"
"CS","CZEMALFA",1186,"ZM","Zambie","Zambijská republika","01.01.1900","09.09.9999","ZMB"
"CS","CZEMALFA",1186,"ZW","Zimbabwe","Zimbabwská republika","01.01.1900","09.09.9999","ZWE"
